stop_id,stop_name,stop_lat,stop_lon,stop_code
1288,Transportowców 01,54.359412043829,18.491387498786,1288
1290,Nowatorów 03,54.364049209737,18.49173595,1290
1291,Nowatorów 02,54.365072544186,18.490364954482,1291
1294,Gronostajowa 01,54.342802143612,18.549300361124,1294
1304,Kiełpino - Szkoła 01,54.339764580099,18.508108889567,1304
1310,Cmentarz Łostowicki 02,54.339936618559,18.601289700349,1310
1316,Płocka 03,54.329094224497,18.598552497062,1316
1319,Łódzka 02,54.323135773679,18.602713817819,1319
1324,Przemian 01,54.304584751166,18.604284374443,1324
1339,Kurpińskiego 02,54.355249766465,18.596487931668,1339
1340,Nad Jarem 01,54.353761105166,18.614335720574,1340
1349,Siedlicka 02,54.370053564058,18.611296963956,1349
1353,Jarowa 02,54.364103469432,18.611811761289,1353
